user_id,name,age,email,registration_date,last_login_date,country,status
1051,User_0,30,valid@mail.com,2023-02-21 00:00:00,2020-01-01,UK,inactive
1092,User_1,25,user@example.com,2024-05-16 00:00:00,2023-08-12 00:00:00,Nigeria,active
1014,User_2,-5,test.com,2023-07-29 00:00:00,2024-01-25 00:00:00,Usa,active
1071,User_3,-5,bademail@,2023-06-28 00:00:00,2023-10-15 00:00:00,Nigeria,
1060,User_4,-5,,2023-03-07 00:00:00,2024-07-24 00:00:00,Usa,Inactive
1020,User_5,200,test.com,2027-01-01,2023-06-04 00:00:00,Nigeria,Active
1082,User_6,25,user@example.com,2025-10-31 00:00:00,2023-07-20 00:00:00,,active
1086,User_7,200,,2024-02-12 00:00:00,2020-01-01,UK,
1074,User_8,200,user@example.com,2025-05-09 00:00:00,2023-01-31 00:00:00,Usa,Suspended
1074,User_9,25,user@example.com,2024-07-23 00:00:00,2024-04-29 00:00:00,USA,
1087,User_10,25,bademail@,2023-01-14 00:00:00,2025-09-21 00:00:00,Nigeria,active
1099,User_11,25,,2023-11-23 00:00:00,2025-04-01 00:00:00,Nigeria,active
1023,User_12,25,,2024-11-27 00:00:00,2023-12-04 00:00:00,Usa,
1002,User_13,-5,bademail@,2024-03-16 00:00:00,2025-03-10 00:00:00,USA,Active
1021,User_14,45,test.com,2024-11-20 00:00:00,2025-07-20 00:00:00,USA,inactive
1052,User_15,45,user@example.com,2025-02-17 00:00:00,2025-09-23 00:00:00,,active
1001,User_16,25,valid@mail.com,2027-01-01,2024-08-30 00:00:00,,
1087,User_17,45,user@example.com,2024-06-25 00:00:00,2023-04-30 00:00:00,,
1029,User_18,45,user@example.com,2025-07-29 00:00:00,2023-05-05 00:00:00,,Inactive
1037,User_19,25,test.com,2025-02-14 00:00:00,2023-04-28 00:00:00,,inactive
1001,User_20,45,user@example.com,2027-01-01,2020-01-01,,Suspended
1063,User_21,200,bademail@,2025-01-10 00:00:00,2025-12-23 00:00:00,UK,Active
1059,User_22,30,bademail@,2023-05-23 00:00:00,2025-11-06 00:00:00,USA,Suspended
1020,User_23,30,,2027-01-01,2020-01-01,,inactive
1032,User_24,25,valid@mail.com,2024-08-15 00:00:00,2023-05-20 00:00:00,USA,inactive
1075,User_25,-5,user@example.com,2024-04-21 00:00:00,2024-04-26 00:00:00,USA,inactive
1057,User_26,25,user@example.com,2025-02-17 00:00:00,2024-05-19 00:00:00,nigeria,Suspended
1021,User_27,-5,test.com,2025-01-17 00:00:00,2023-03-23 00:00:00,UK,inactive
1088,User_28,30,bademail@,2024-12-28 00:00:00,2025-05-08 00:00:00,,
1048,User_29,25,valid@mail.com,2024-06-30 00:00:00,2025-12-06 00:00:00,Nigeria,Suspended
1090,User_30,,,2023-05-27 00:00:00,2024-06-18 00:00:00,Usa,inactive
1058,User_31,200,bademail@,2023-12-17 00:00:00,2024-10-05 00:00:00,Nigeria,
1041,User_32,45,,2024-05-16 00:00:00,2025-03-21 00:00:00,UK,Inactive
1091,User_33,-5,test.com,2025-02-16 00:00:00,2024-09-06 00:00:00,Usa,inactive
